#social|ソーシャルエンジニアリング|SOCIAL ENGINEERING|https://www.cisa.gov/secure-our-world/recognize-and-report-phishing|CISA：フィッシングの認識と報告
フィッシング|信頼できる組織を装い、偽の案内から認証情報などをだまし取る行為|メールのリンクを使わず正規アプリから通知を確認する|送信者の表示名が有名企業ならリンク先でログインする|不自然な催促は兆候の一つだが、文章が自然な偽メールもある|フィッシングメールには必ず誤字が含まれる|誤字の有無で真偽は確定できない。送信元と実際のリンク先、正規窓口を確認する|偽画面に入力した場合は正規経路で認証情報とセッションを保護する|偽画面を閉じれば入力済みのパスワードも回収できる
クレデンシャルスタッフィング|他サービスから漏れたIDとパスワードの組を使ってログインを試みる行為|サービスごとに異なるパスワードとMFAを使う|複雑な同じパスワードを全サービスで使い回す|強いパスワードでも使い回して漏れると被害が広がり得る|長いパスワードなら使い回しても漏えいの連鎖は防げる|長さは使い回しによる漏えい連鎖を解消しない。各サービスで固有にする|侵害されたアカウントで使い回した先も確認する|漏れたサービスだけ変更し、同じ資格情報の他サービスを無視する
パスワードスプレー|多数のアカウントに対し、少数のよく使われるパスワードを試す行為|アカウント横断の失敗傾向も監視し弱い秘密を拒否する|1アカウントの失敗回数だけで攻撃の有無を断定する|1アカウント当たりの試行を少なく見せる場合がある|アカウントごとの失敗が少なければ攻撃ではない|多数のアカウントへ分散した試行は横断的に見る必要がある|同じ発信傾向で多くの利用者が失敗していないか調べる|各利用者が1回ずつ失敗しただけならログを捨てる
ブルートフォース|候補を繰り返し試し、秘密や認証結果を当てようとする方法|十分な強さの秘密と試行制限を組み合わせる|パスワード欄を伏せ字にするだけで試行攻撃を防ぐ|オンライン試行の制限は、漏えいハッシュのオフライン解析とは別の対策である|ログイン画面の回数制限で漏れたハッシュの解析も止められる|オフライン解析はログイン画面を使わない。安全なハッシュ方式と長い固有の秘密も必要|失敗増加時は誤操作と攻撃をログの文脈から切り分ける|失敗が増えたら全利用者を無期限に停止するだけで調査を終える
パスワードマネージャー|多数の固有の認証情報を安全な保管庫で管理するツール|保管庫の主認証と回復情報を強く保護する|保管庫のマスターパスワードを無保護の共有文書に書く|自動生成を使えばサイトごとの固有の秘密を運用しやすい|パスワードマネージャーを使えば端末保護は不要だ|保管庫を利用する端末や主認証が侵害されれば被害につながるため保護は必要|正規サイト以外で自動入力されない挙動も確認する|どのリンク先にも無条件で自動入力するよう設定する
TOTP|共有秘密と時刻に基づいて短期間有効なコードを生成する方式|初期登録の秘密と回復コードを保護する|登録用QRコードを誰でも見られる場所に置く|入力したコードをリアルタイムで中継される危険がある|TOTPはすべてのフィッシングに耐性がある|短時間のコードでも偽画面から中継される場合があり、フィッシング耐性と同じではない|コードが連続して失敗するときは端末時刻や登録先を確認する|コードの表示桁数が正しければ共有秘密の漏えいを否定する
MFA疲労攻撃|認証通知を何度も送り、利用者が誤って承認するよう誘う攻撃|身に覚えのない通知を拒否して管理者へ報告する|通知を止めるため一度だけ承認する|承認要求が届くこと自体は本人の操作である証拠にならない|承認を一度押してもパスワードを教えなければ安全だ|その承認が相手のログインを成立させる可能性がある。心当たりのない要求を承認しない|正規経路でパスワードや既存セッションの状態を確認する|通知が止まったら承認の影響調査を省略する
アカウント回復|利用不能になった認証手段に代わり、アカウントへのアクセスを復旧する手続き|通常の認証と釣り合う本人確認と回復情報の保護を行う|公開プロフィールの質問だけで重要アカウントを回復させる|弱い回復手段が強い認証の抜け道になることがある|MFAが強ければパスワード再設定窓口は弱くてよい|回復経路も認証境界の一部であり、攻撃者に利用されないよう保護する|回復後は不審な端末やセッション、連絡先の変更を確認する|回復できたら相手が登録した転送先を確認しない
セッション失効|発行済みのログイン状態やトークンを無効にすること|侵害時はパスワード変更と既存セッションの無効化を確認する|パスワードを変えれば全方式のトークンが必ず即時失効すると決める|パスワードと発行済みトークンの寿命は別に管理される場合がある|パスワード変更は全サービスで全セッションを必ず消す|失効の挙動は実装次第。トークンや回復情報を含め実際の状態を確認する|ログアウト後に再利用できないことをテスト用セッションで確かめる|画面がログイン表示に戻っただけでサーバー側の失効を断定する
#web-injection|Web入力とインジェクション|INPUT LAB|https://cheatsheetseries.owasp.org/cheatsheets/Injection_Prevention_Cheat_Sheet.html|OWASP：インジェクション対策
SQLインジェクション|入力をSQLの構造として解釈させ、意図しない問い合わせを起こす脆弱性|値の受け渡しにパラメーター化クエリを使う|ユーザー入力をSQL文字列へ直接連結する|DB利用者の権限を絞ることは被害範囲の低減にも役立つ|HTMLエスケープだけでSQLインジェクションを防げる|HTML表示の処理とSQL構文の分離は別である。値にはパラメーター化を使う|修正後は問題の入力だけでなく他の問い合わせ経路も点検する|エラー表示を隠せば不正なSQL実行も止まると判断する
OSコマンドインジェクション|外部入力がOSコマンドの一部として解釈される脆弱性|可能ならシェルを介さない専用APIに置き換える|危険そうな記号を1種類除くだけでシェル実行を続ける|シェルを使わなくても引数の意味の検証が必要な場合がある|1つの記号を禁止すれば全環境のコマンド注入を防げる|構文や環境ごとに解釈は異なる。シェルの回避、引数の分離、許可制を検討する|入力がどのAPIと引数に渡るかを追跡する|画面で入力文字を隠しただけで実行経路も安全とする
蓄積型XSS|保存された不正な内容が後の閲覧時にスクリプトとして実行される脆弱性|表示文脈に合った出力エンコードと必要な無害化を行う|保存に成功した入力はすべて安全なHTMLとして表示する|投稿者以外の閲覧者に影響する場合がある|データベースに保存した文字列はブラウザーでも安全だ|保存した場所は安全性を決めない。表示時のHTMLや属性などの文脈に合わせた処理が必要|保存済みの危険なデータと表示処理の両方を調べる|新規投稿を止めたら過去の不正な投稿も無害になったと判断する
反射型XSS|リクエストの値を応答へ取り込み、スクリプトとして実行させる脆弱性|反映先の文脈に合ったエンコードを行う|検索語は保存しないため無加工でHTMLに埋め込む|データを長期保存しない画面にも発生し得る|反射型XSSには必ずデータベースへの保存が必要だ|リクエストから応答への反映だけでも発生し、保存は必要条件ではない|URLの入力が応答のどこへ反映されるか確認する|データベースがないページはXSS検査の対象から外す
DOM型XSS|ブラウザー内のデータ処理が危険なDOM操作へ流れ、実行を起こす脆弱性|文字列表示にはtextContentなど適切な安全APIを使う|URLから読んだ値をそのままinnerHTMLへ渡す|サーバーが同じHTMLを返すページでも発生し得る|サーバーの応答が固定ならDOM型XSSは起こらない|ブラウザー側でURL等を読み危険な挿入先へ渡す経路も調査が必要|クライアント側の入力元からDOM挿入までを確認する|サーバーログに文字列がなければブラウザー側の問題も否定する
パストラバーサル|外部入力をファイルパスに使い、意図したディレクトリ外へ到達する脆弱性|許可したファイルIDからサーバー側でパスを決める|利用者が渡す相対パスをそのままファイル操作に使う|パスの正規化だけでなく許可範囲の検証も必要になる|URLエンコードされたパスならディレクトリ外に出られない|エンコードは権限制御ではない。解釈後のパスが許可範囲にあることを検証する|シンボリックリンクなど実際の解決先にも注意する|文字列が指定フォルダー名で始まれば必ず安全とする
XXE|外部実体を解決するXML処理により、意図しない読み取りや通信が起こる脆弱性|不要な外部実体や外部DTDの解決を無効にする|利用者のXMLで指定された外部実体を無条件で取得する|XMLライブラリの安全な設定は製品や版により異なる|XMLが正しい構文なら外部実体による危険はない|構文の正しさと外部実体を許可する安全性は別。パーサーの設定を確認する|外部通信とXML処理の設定をテスト環境で検証する|XMLの拡張子を変えるだけでパーサーの実体解決を止められると考える
SSTI|利用者の入力をサーバー側テンプレートの式として解釈する脆弱性|利用者の文字列をテンプレートコードと分離してデータとして扱う|利用者が送った文章をテンプレートとして再評価する|テンプレートの機能や実行権限で影響範囲が変わる|出力をHTMLエスケープすればテンプレート式の実行も防げる|出力段階のHTML処理だけでは、その前のテンプレート評価を防げない|文字列がデータとして渡るかコードとして評価されるか追跡する|ブラウザーで文字が見えなければサーバー側評価もなかったと断定する
危険なデシリアライズ|信用できないデータからオブジェクトを復元し、予期しない処理を起こす問題|単純なデータ形式とスキーマ検証を優先する|外部から受けた任意のオブジェクト形式を復元する|署名の確認は役立つが、許可した型や処理の設計も重要である|バイナリ形式なら利用者が加工できず安全だ|形式が読みにくくても改変は可能。入力の信頼境界と復元時の動作を管理する|復元処理が呼び出す型やフックを把握する|拡張子が専用形式なら実行につながる処理の調査を省く
CSVインジェクション|表計算ソフトがCSVのセル内容を式として解釈することで生じる危険|出力先ソフトの仕様を踏まえ、式として解釈させない処理を行う|CSVではどんなセルも必ず単なる文字列として開かれると考える|CSVに出した外部入力が表計算ソフトで別の意味を持つ場合がある|CSVを引用符で囲めばすべての表計算ソフトで式実行を防げる|CSV構文の引用と表計算の式評価は別。対象ソフトで安全な出力方法を検証する|輸出データを実際の利用ソフトで安全に検証する|Web画面で安全だったためCSVの出力検証は不要とする
#web-access|Webの権限とセッション|WEB GATEWAY|https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Cheat_Sheet.html|OWASP：認可
IDOR|利用者が指定した識別子に対する権限確認が不足し、他人の対象へアクセスできる問題|対象ごとにサーバー側で所有者や権限を検証する|IDを長いランダム文字列にするだけで権限確認を省く|推測しにくいIDは認可検証の代替にはならない|UUIDを使えばオブジェクト単位の認可は不要だ|識別子の推測しにくさと操作の許可は別である。対象への権限を毎回検証する|テスト用の別ユーザー間で読み書きの境界を確かめる|ボタンが見えないためAPIからの操作も不可能と断定する
CSRF|ログイン中のブラウザーに、利用者が意図しない状態変更リクエストを送らせる攻撃|状態変更にCSRFトークンや適切なSameSite等を組み合わせる|利用者がログイン済みなら送信元の確認を省く|Cookieが自動送信される認証では特に検討が必要である|HTTPSにすればCSRFへの追加対策は不要だ|HTTPSは通信を保護するが、利用者の操作意図までは証明しない|GETリクエストで重要な状態を変えていないか確認する|画面にフォームがなければ意図しないリクエストは届かないと考える
クリックジャッキング|透明なフレームなどを重ね、意図しない画面操作を誘う手法|適切なframe-ancestorsなどで埋め込み元を制限する|重要操作画面をどのサイトからも自由にフレーム表示させる|見えている要素と実際にクリックされる要素がずれることがある|ボタンの文字を変更するだけでクリックジャッキングを防げる|防ぐべきなのは不正な埋め込み等による操作誘導。埋め込みポリシーなどで対策する|信頼しない親フレームから重要画面を表示できるか確認する|ページがHTTPSなら第三者の埋め込み検証を省略する
セッション固定攻撃|攻撃者が把握するセッションIDを利用者に使わせ、認証後の状態を奪う手法|ログインや権限昇格の際にセッションIDを再生成する|ログイン前後で同じセッションIDを必ず維持する|ログイン成功時に以前のIDを無効化することも重要である|ログイン前のセッションIDを残すほど安全性が高まる|認証境界では新しいIDへ移行し、既知の旧IDを再利用できないようにする|旧IDで認証後の操作ができないかテストする|新しいIDを表示しただけで旧IDは無効になったと判断する
Secure Cookie属性|Cookieを主に安全な通信経路へ送るようブラウザーへ指示する属性|認証CookieにSecureを設定しHTTPSで運用する|Secure属性だけでCookieをJavaScriptから隠せると考える|SecureとHttpOnlyは別の役割を持つ|Secureを付ければJavaScriptはCookieを読めなくなる|スクリプトからの読み取りを抑える属性はHttpOnlyであり、Secureとは別である|設定されたCookie属性と実際の送信経路を確認する|Cookie名にsecureという語があれば属性確認を省く
HttpOnly Cookie属性|JavaScriptのCookie APIからの読み取りを制限する属性|認証CookieにHttpOnlyを設定しXSS対策も行う|HttpOnlyを付けたのでXSSを修正しない|HttpOnlyでもブラウザーによるCookie送信は行われる|HttpOnlyならXSSで認証済み操作をされる可能性はない|Cookieを直接読めなくても、XSSが認証済み操作を起こす場合がある|Cookie窃取の抑制と画面操作の悪用を分けて評価する|JavaScriptで値が読めないことだけでXSSの影響をゼロとする
SameSite Cookie属性|サイトをまたぐリクエストでのCookie送信を制御する属性|利用フローを検証して適切なSameSite設定を選ぶ|SameSiteの値に関係なく全CSRFを防げると決める|Strict・Lax・Noneは送信条件が異なる|SameSiteのサイト判定は常に完全な同一オリジン判定と同じだ|サイトとオリジンは別の概念。サブドメイン等も考え、設定とフローを検証する|外部からのログイン遷移や決済の戻りもテストする|最も厳しい設定にして全フローを未確認のまま公開する
オープンリダイレクト|未検証の転送先へ利用者を移動させる脆弱性|転送先を許可した内部パスや明確な許可リストに限定する|URL引数に指定された外部URLへ無条件に転送する|正規ドメインを入り口にした詐欺の誘導に使われ得る|最初のURLが正規ドメインなら最終到達先も必ず正規だ|途中で別ドメインへ転送されることがある。最終到達先も検証する|認証フローの転送先は完全一致など明確な規則で検証する|転送先文字列に正規ドメイン名が含まれれば許可する
CORS|ブラウザーが別オリジンの応答をスクリプトへ公開する条件を定める仕組み|必要なオリジンだけ許可しサーバーの認可も別途行う|CORSだけをAPIへのアクセス権限の判定に使う|CORSはブラウザー以外のクライアントを認証する仕組みではない|CORSを制限すればブラウザー以外からのAPI呼び出しも止まる|CORSは主にブラウザーの読み取り制約で、API側の認証・認可を代替しない|資格情報付き応答を公開するオリジン設定を点検する|受信Originを検証せず常に許可ヘッダーへ反映する
CSP|読み込むスクリプトなどの資源や動作を制限するブラウザー向けポリシー|適切なnonceやhash等を使い段階的にポリシーを検証する|CSPがあれば危険なHTML挿入を修正しなくてよいとする|Report-Onlyは違反を報告するがそのポリシーではブロックしない|CSPをReport-Onlyにすれば違反スクリプトはすべて停止する|Report-Onlyは観測用で強制ブロックではない。本番の適用状態を確認する|違反レポートと実際のページ動作を見て調整する|ポリシー文字列が存在するだけで防御が完成したと判断する
#network|ネットワーク防衛|PACKET DISTRICT|https://csrc.nist.gov/pubs/sp/800/41/r1/final|NIST：ファイアウォールとポリシー
ファイアウォール|通信を定めた規則に従って許可・拒否する仕組み|業務に必要な通信を明確にして規則を見直す|全通信を許可して設置しただけで防御完了とする|許可された通信の中にも不正な内容が含まれ得る|ファイアウォールを通った通信には悪意がない|通信の許可と内容の安全性は別。アプリケーションや端末側の対策も必要|使用されなくなった許可規則を棚卸しする|一度承認された許可規則は用途がなくても永久に残す
ネットワーク分割|用途や信頼度の異なる機器群を通信境界で分ける設計|セグメント間の必要な通信だけを許可する|異なるVLANにした後で相互の全通信を許可する|侵害端末から他領域への横展開を制限する目的がある|VLAN番号が異なれば通信制御を確認しなくてよい|分割の効果は経路とアクセス制御にも依存する。番号を分けるだけでは十分でない|ゲスト端末から管理用ネットワークへの到達性を検証する|ネットワーク図の色分けだけで実際の隔離を保証する
IDS|不審な通信や活動を検知して知らせる仕組み|アラートを調査する運用と検知範囲を整える|検知装置を置けば必ず自動遮断すると考える|検知と遮断は別の機能である|IDSは定義上あらゆる不正通信を遮断する|IDSの主な役割は検知。遮断の有無は機器の機能と構成を確認する|正常な業務との区別に必要な周辺ログを確認する|アラートの存在だけで被害が確定したと断定する
IPS|通信経路などで不審な活動を検知し、遮断も行う仕組み|誤遮断の影響を考え規則を検証して適用する|すべての警告を未検証で業務停止につなげる|誤検知を遮断すると正常な利用に影響し得る|IPSの遮断が起きれば必ず攻撃だったと確定する|誤検知や規則の問題もあり得る。遮断内容と業務影響を検証する|遮断による効果と正当な通信への影響を確認する|遮断数が多いほど必ず安全性が高いと評価する
DNSキャッシュポイズニング|名前解決のキャッシュへ偽の対応情報を混入させる攻撃|検証機能やDNSSEC対応を含めリゾルバーを安全に運用する|DNS応答はすべて正しいものとして保存する|誤ったIPアドレスへの誘導につながる場合がある|DNSSECはWebの通信内容も暗号化する|DNSSECはDNSデータの真正性などを検証する仕組みで、Web本文の暗号化ではない|権威DNSの情報とキャッシュの差を確認する|Webページの見た目が同じならDNSの異常を否定する
ARPスプーフィング|同一リンク内のIPとMACの対応を偽り、通信を誘導する行為|対応する環境で動的ARP検査などを検討する|ARPで受けた対応情報は認証済みとして信頼する|同一ネットワーク内の中間者化に悪用され得る|ARPは各応答に電子署名を必ず付ける|一般的なARP自体には各応答を暗号学的に認証する機能がない|急なMAC対応の変化をネットワーク構成変更と照合する|対応表が変わったら理由を問わず正常と扱う
DDoS|多数の送信元などから負荷を集中させ、サービスの可用性を妨げる攻撃|上流対策や配信基盤、流量制御を組み合わせる|単一サーバーのCPU増強だけですべてのDDoSを防ぐ|回線帯域が先に詰まる攻撃もある|DDoSは必ずサーバーのCPUだけを枯渇させる|帯域、接続数、アプリの処理など枯渇する資源は攻撃により異なる|回線・接続・アプリ処理のどこが詰まるか切り分ける|アクセスが増えた事実だけで攻撃の種類を断定する
レート制限|一定期間内のリクエスト数や操作量を制限する仕組み|利用者・機能・資源に応じた制限を設計する|すべてのAPIを同じ無制限の設定にする|IPだけの制限では共有回線の利用者へ影響する場合がある|IPごとの制限を入れれば分散した攻撃も必ず止まる|複数の送信元による試行や共有IPを考慮し、適切な単位で制限する|正常利用の増加と濫用を指標で分けて調整する|制限の拒否件数があれば常に全件を攻撃と扱う
VPN|公開網などに仮想的な保護された通信経路を構成する技術|接続時の本人確認と端末の安全性も確保する|VPNにつながった端末には全社の権限を無条件に与える|VPNの保護範囲は通信経路や構成によって異なる|VPNを使えば端末上のマルウェアも自動で消える|VPNは端末の不正プログラムを除去する仕組みではない|分岐トンネルを含む実際の通信経路を把握する|VPNアイコンが点灯していれば全通信の経路確認を省く
中間者攻撃|通信する二者の間に入り、傍受や改変などを行う攻撃|TLS証明書の検証を正しく行い警告を無視しない|接続できないときは証明書検証を恒久的に無効化する|暗号化されていても相手の検証が不十分なら危険が残る|通信が暗号化されていれば接続相手の認証は不要だ|暗号化だけで相手が正規かは保証できない。証明書等による相手の確認が重要|証明書エラーは経路や端末時刻も含め原因を調べる|警告を非表示にすれば安全な接続に変わると判断する
#crypto|暗号と鍵管理|CIPHER VAULT|https://cheatsheetseries.owasp.org/cheatsheets/Cryptographic_Storage_Cheat_Sheet.html|OWASP：暗号化された保存
共通鍵暗号|暗号化と復号に共有する秘密鍵を用いる方式|秘密鍵を安全に配布・保管して利用権限を絞る|復号鍵を暗号文と一緒に誰でも取得できる場所へ置く|通信量が多いデータの暗号化に使われることが多い|暗号文を公開するなら共通鍵も公開してよい|共通鍵を知る者は復号できるため、鍵は暗号文と別の保護境界で管理する|鍵へのアクセス履歴と必要性を定期的に確認する|暗号化の方式名だけを秘密にして鍵は公開する
公開鍵暗号|公開鍵と秘密鍵の対を使う暗号技術の総称|公開鍵の真正性を確認し秘密鍵を守る|名前が公開鍵なので対になる秘密鍵も配布する|公開鍵を知っていても秘密鍵を簡単に求められない性質を利用する|公開鍵は誰でも見られるので真正性の確認はいらない|公開はできても相手の鍵との取り違えを防ぐ必要がある|鍵の持ち主を証明書や信頼できる経路で照合する|受け取った最初の鍵を確認なしで正規の鍵と断定する
暗号学的ハッシュ|データから固定長の要約値を計算する一方向の関数|用途に合う現行の安全なハッシュを選ぶ|ハッシュ値には復号鍵があり元データへ必ず戻せると考える|理論上の衝突と実用的に衝突を見つけやすいことは別である|ハッシュは暗号化なので復号すれば原文が出る|ハッシュは通常の暗号化とは異なり、復号という操作を前提にしない|比較元の正当性を確認してファイルの要約値を比べる|攻撃者が配布したファイルと同じ場所の値だけで真正性を断定する
パスワードハッシュ|パスワード照合用に計算コスト等を設けて不可逆な値を保存する方法|専用のパスワードハッシュ方式を適切に設定する|高速な汎用ハッシュを1回だけ使えば十分とする|計算負荷やメモリー負荷は大量推測のコストを高めるために使う|パスワードは復号できる暗号化で保存するのが常に最善だ|認証用には通常、復号せず照合できる専用ハッシュを使う|実際の環境で負荷と安全性を測って設定値を選ぶ|古い計算コストを機器の高速化後も永久に固定する
ソルト|同じ秘密のハッシュ結果を使い回しにくくするため加える個別の値|パスワードごとに適切なランダム値を生成する|全利用者に同じ固定値を使って十分とする|ソルトは通常、ハッシュと一緒に保存してよい|ソルトは必ず秘密でなければ効果がない|ソルトの主な目的は値の個別化であり、秘密鍵のように秘匿する前提ではない|同じパスワードでも保存値が個別化されるか確認する|ソルトを公開できるので固定値でも問題ないとする
電子署名|秘密鍵で作成し、対応する公開鍵で完全性や署名者を検証する仕組み|署名検証と署名鍵の信頼確認を行う|署名があるファイルは内容が必ず無害と決める|署名は内容の暗号化とは異なる役割を持つ|電子署名したデータは必ず第三者から読めなくなる|署名は通常、内容を隠す機能ではない。機密性が必要なら別途暗号化する|署名元の信頼性と鍵の侵害・失効の情報も確認する|署名の形式が付いているだけで検証を省く
認証付き暗号|暗号化に加えデータの改変検知も提供する方式|検証失敗時はデータを受け入れず鍵とnonceを適切に扱う|認証タグが不一致でも復号結果をそのまま使う|機密性と完全性の両方を保護する設計に使える|認証タグの検証に失敗しても読めた部分は信用できる|検証に失敗したデータは受け入れない。認証されていない平文を利用しない|エラー時に処理を中断する経路をテストする|タグを省略して性能が上がったので安全性も同じとする
nonce|暗号処理などで一定条件の下で再利用を避ける値|方式で要求される一意性やランダム性を満たす|同じ鍵で毎回同じnonceを使い続ける|必要な条件は暗号方式やプロトコルによって違う|nonceはどんな暗号方式でも同じ値を再利用してよい|再利用が安全性を壊す方式がある。選んだ方式の要件を厳密に守る|再起動や並列処理でも値が重複しない設計を確認する|通常動作だけで重複しなければ障害復旧時の検証は不要とする
鍵ローテーション|暗号鍵や認証用の鍵を計画的または侵害時に交換する運用|旧鍵の失効や過去データの読取り方を設計する|新鍵を作るだけで旧鍵を永久に無制限利用させる|過去の暗号文を扱うには鍵の版管理が必要になる場合がある|新しい鍵を作れば漏れた古い鍵も自動的に無効になる|鍵の発行と旧鍵の失効は別の処理。利用先と過去データの影響を管理する|切替後に旧鍵が許可される範囲を検証する|新鍵で1回成功したら旧鍵のアクセスを確認しない
前方秘匿性|長期秘密鍵が後で漏れても、過去の通信秘密を守る性質|対応した鍵交換を用い一時鍵を適切に扱う|長期鍵だけで全通信の秘密を復元できる方式を前方秘匿と呼ぶ|過去通信の保護と現在の端末侵害への保護は同一ではない|前方秘匿性があれば通信中の端末を侵害されても無条件で安全だ|この性質は主に長期鍵の将来の漏えいに対する過去通信の保護で、端末侵害を万能に防がない|接続の実際の鍵交換方式を確認する|暗号方式名に強いという説明があれば鍵交換を確認しない
#endpoint|マルウェアと端末|ENDPOINT CITY|https://www.cisa.gov/stopransomware/ransomware-guide|CISA：ランサムウェアガイド
ランサムウェア|データの暗号化などで利用を妨げ、金銭等を要求する不正プログラム|隔離したバックアップと復元訓練を用意する|常時接続した1つのコピーだけに復旧を依存する|暗号化に加えて盗んだデータの公開を脅す場合もある|ランサムウェア被害はファイル暗号化だけを確認すればよい|情報の持ち出しや認証情報の侵害もあり得る。暗号化の有無だけで範囲を決めない|被害端末の隔離と証拠保全を組織の手順に従って進める|元通りに動くようになっただけで情報流出はなかったと判断する
